,l,b,age (years),distance (kpc),type_x,name,RA (hh),RA (mm),RA (ss),Dec (deg),Dec (min),type_y,semimaj_axis (arcmin),semimin_axis (arcmin),best-fit S_1GHz,1-GHz,spectral,best-fit alpha,diam,confidence,Surface brightness (W/m2/Hz/sr),err in dist,dist known,r,theta
0,0.0,0.0,1200 - 10000,8.0,thermal composite,0.0+0.0,17,45,44,-29,0,S,3.5,2.5,97.93362626496669,100?,0.8?,0.7147232911740121,3.0,1.0,1.7019210773237152e-18,2.0,1.0,0.0,0.0
1,0.3,0.0,≤ 500000,8.5,shell,0.3+0.0,17,46,15,-28,38,S,15.0,8.0,0.0,22,0.6,0.0,11.5,0.5,2.758667249278152e-20,2.125,1.0,0.5018607918038167,174.91224933038072
2,0.9,0.1,1900 PSR: 5000,10.75,plerionic composite,0.9+0.1,17,47,21,-28,9,C,8.0,8.0,0.0,18?,varies,0.0,8.0,0.5,4.2320463483244387e-20,4.5,1.0,2.7538553362793734,176.4846829996074
3,1.9,0.3,150 - 220,8.5,shell,1.9+0.3,17,48,45,-27,10,S,1.5,1.5,0.0,0.6,0.6,0.0,1.5,0.5,4.012606908040948e-20,2.125,1.0,0.5698865079303179,150.3620421261117
4,3.8,0.3,,11.986812436901332,shell?,3.8+0.3,17,52,55,-25,28,S?,18.0,18.0,0.0,3?,0.6,0.0,18.0,0.5,1.3932662875142181e-21,11.986812436901332,0.0,4.03934742285775,168.65778477059743
5,4.5,6.8,SN: 418 yr,10.75,shell,4.5+6.8,17,30,42,-21,29,S,3.0,3.0,0.0,19,0.64,0.0,3.0,0.5,3.176647135532417e-19,4.5,1.0,2.844770394584065,162.75331973116067
6,4.8,6.2,,11.97896638861434,shell,4.8+6.2,17,33,25,-21,34,S,18.0,18.0,0.0,3,0.6,0.0,18.0,0.5,1.3932662875142181e-21,11.97896638861434,0.0,4.062556370125572,165.71562120579657
7,5.5,0.3,,11.972393104746198,shell,5.5+0.3,17,57,4,-24,0,S,15.0,12.0,0.0,5.5,0.7,0.0,13.5,0.5,4.597778748796921e-21,11.972393104746198,0.0,4.081887228406203,163.6728965686531
8,5.9,3.1,,11.968237975692029,shell,5.9+3.1,17,47,20,-22,16,S,20.0,20.0,0.0,3.3?,0.4?,0.0,20.0,0.5,1.2414002621751684e-21,11.968237975692029,0.0,4.094054195684653,162.51262360046204
9,6.1,0.5,,11.966051743003506,shell,6.1+0.5,17,57,29,-23,25,S,18.0,12.0,0.0,4.5,0.9,0.0,15.0,0.5,3.1348491469069907e-21,11.966051743003506,0.0,4.100439693955118,161.93452208334705
10,6.1,1.2,,11.966051743003506,filled-centre?,6.1+1.2,17,54,55,-23,5,F,30.0,26.0,0.0,4.0?,0.3?,0.0,28.0,0.5,7.716551746232592e-22,11.966051743003506,0.0,4.100439693955118,161.93452208334705
11,6.4,4.0,,11.962636689488573,shell,6.4+4.0,17,45,10,-21,22,S,31.0,31.0,0.0,1.3?,0.4?,0.0,31.0,0.5,2.035531600072801e-22,11.962636689488573,0.0,4.110392126707851,161.0700183629549
12,7.2,0.2,,11.95273493331292,shell,7.2+0.2,18,1,7,-22,38,S,12.0,12.0,0.0,2.8,0.6,0.0,12.0,0.5,2.9258592037798577e-21,11.95273493331292,0.0,4.139097439534496,158.78105964317018
13,8.3,0.0,,11.937237231833267,shell,8.3-0.0,18,4,34,-21,49,S,5.0,4.0,0.0,1.2,0.6,0.0,4.5,0.5,9.028365543092132e-21,11.937237231833267,0.0,4.18358306609701,155.67580898535059
14,8.9,0.4,,11.92786824574485,shell,8.9+0.4,18,3,58,-21,3,S,24.0,24.0,0.0,9,0.6,0.0,24.0,0.5,2.3511368601802427e-21,11.92786824574485,0.0,4.210220791378011,154.00415180726853
15,9.7,0.0,,11.914374656000815,shell,9.7-0.0,18,7,22,-20,35,S,15.0,11.0,0.0,3.7,0.6,0.0,13.0,0.5,3.374237627216253e-21,11.914374656000815,0.0,4.248255707516376,151.80108485282662
16,9.8,0.6,,11.912607671071465,shell,9.8+0.6,18,5,8,-20,14,S,12.0,12.0,4.073823439190513,3.9,0.5,0.39406651055834346,12.0,1.0,4.166122267655558e-21,11.912607671071465,0.0,4.253208021614899,151.52784076453008
17,10.5,0.0,,11.899740625243506,shell,10.5-0.0,18,9,8,-19,47,S,6.0,6.0,0.0,0.9,0.6,0.0,6.0,0.5,3.761818976288389e-21,11.899740625243506,0.0,4.289076013773745,149.62883104581147
18,11.0,0.0,,10.75,shell?,11.0-0.0,18,10,4,-19,25,S,11.0,9.0,0.0,1.3,0.6,0.0,10.0,0.5,1.975904916838346e-21,4.5,1.0,3.274541868262155,141.2144509279868
19,11.1,0.1,PSR: 51300,10.75,plerionic composite?,11.1+0.1,18,9,47,-19,12,S,12.0,10.0,0.0,2.3,0.4,0.0,11.0,0.5,2.8840612151544315e-21,4.5,1.0,3.2833156706801483,140.92465489410102
